"","country","region","year","new.pul.TB","prev.treated.pul.TB","prev.unk.pul.TB","new.MDR","prev.MDR","MDR.tested","XDR","pop.number","TB.100k","TB.num","TB_mort.100k","TB_mort.num","Country.Code","GDP"
"331","Tonga","WPR",2017,7,0,0,0,0,0,0,101998,12,13,1,1,"TON",4217.476507
"332","Tonga","WPR",2018,7,0,0,0,0,0,0,103197,10,10,0.82,1,"TON",4364.015561
"333","Trinidad and Tobago","AMR",2017,116,17,0,0,1,0,0,1384059,17,230,2,27,"TTO",16076.08204
"335","Tunisia","EMR",2017,909,70,0,10,9,19,1,11433443,34,3900,1.3,150,"TUN",3494.318864
"336","Tunisia","EMR",2018,1015,36,0,11,8,19,1,11565201,35,4000,1.3,150,"TUN",3446.607238
"337","Turkey","EUR",2017,5681,657,0,121,61,100,2,81116450,17,14000,0.64,520,"TUR",10499.74557
"338","Turkey","EUR",2018,5465,530,0,123,44,120,8,82340088,16,13000,0.51,420,"TUR",9311.366117
"343","Tuvalu","WPR",2017,10,0,1,0,0,0,0,11370,233,26,19,2,"TUV",3572.608367
"344","Tuvalu","WPR",2018,14,5,0,0,0,0,0,11508,270,31,22,3,"TUV",3700.710677
"345","Uganda","AFR",2017,25494,2599,26,30,65,75,3,41166588,201,83000,56,23000,"UGA",631.5227198
"346","Uganda","AFR",2018,26963,3283,145,41,45,86,3,42729036,200,86000,45,19000,"UGA",643.1396702
"347","Ukraine","EUR",2017,12840,7212,0,2594,2414,5008,1001,44487709,84,37000,14,6400,"UKR",2640.675677
"348","Ukraine","EUR",2018,12931,6774,0,2755,2299,5054,972,44246156,80,36000,13,5700,"UKR",3095.173581
"349","United Arab Emirates","EMR",2017,46,4,0,0,0,0,0,9487203,0.8,76,0.68,65,"ARE",40325.382
"350","United Arab Emirates","EMR",2018,50,1,0,0,1,0,0,9630959,1,99,0.68,65,"ARE",43004.94865
"351","Uruguay","AMR",2017,564,49,0,1,0,1,0,3436641,31,1100,2.9,99,"URY",16437.24487
"352","Uruguay","AMR",2018,581,96,0,1,0,1,0,3449285,33,1200,3,100,"URY",17277.97011
"353","Uzbekistan","EUR",2017,4592,3600,0,351,189,540,0,31959785,73,23000,6.7,2100,"UZB",1826.56704
"355","Vanuatu","WPR",2017,47,0,0,0,0,0,0,285510,51,150,9.2,26,"VUT",2976.107116
"356","Vanuatu","WPR",2018,41,0,0,0,0,0,0,292680,46,130,7.5,22,"VUT",3033.408146
"358","Zambia","AFR",2018,15373,1745,0,9,111,120,1,17351708,346,60000,102,18000,"ZMB",1539.900158
